,distBF,distRA,distSeaTac
2534,79011.38868285612,94124.8702080571,109873.45947284046
2535,28952.237932717733,53207.48094337004,55898.30767489039
2536,66714.77804479249,69903.78641023736,93265.48307615453
2537,77927.60608599425,84135.70826257055,106194.5065303944
2538,97751.25806154562,73489.43369144901,79985.85958762714
2539,60833.1228370168,81596.21222262482,90764.24482546671
2540,63851.72213791392,83813.80852645093,94121.43982277584
2541,96628.35872127204,103805.94206542094,125492.09046222446
2542,73434.47024863212,67066.26612741902,43259.88637950953
2543,90261.98683930692,67798.9002351486,67382.11323006082
2544,89502.07049647468,105120.80994896863,120392.32512577866
2545,86414.994628234,82246.3206540691,108248.78450902482
2546,91352.5009477303,67065.29896680242,74062.21557226373
2547,74729.70574132905,57759.18377333069,83427.4113063862
2548,81314.24791506848,59369.92577737144,57974.280616946045
2549,87848.1718443911,76669.93363742609,56958.22895186363
2550,90242.62732714195,80111.54615315615,59390.28931118644
2551,58584.71410931292,77304.1613201279,89274.32738234743
2552,100198.48729426808,85025.97023189969,69956.5236363258
2553,90819.20058198806,109653.75353085028,121283.08610702383
2554,72233.08268817488,61645.60361788592,41345.72030855018
2555,82002.06897251062,93898.92874890994,112366.26905104959
2556,15615.482871813205,30509.63933274795,21382.583539513005
2557,68036.83630005585,61247.143169020645,37649.200818230725
2558,45713.28500881203,68506.6369384787,74372.17774018731
2559,32027.633093978864,48604.42255576884,62817.6510194198
2560,79061.42777607014,85219.59653397778,107317.18627718587
2561,92308.77864030447,85153.1315053747,62064.11083076804
2562,62259.85204028785,57701.718407018125,83537.93378402619
2563,40092.012423622524,57157.44155273839,70974.26677130032
2564,37419.27327733597,28563.00081725704,54621.471321628465
2565,37419.27327733597,28563.00081725704,54621.471321628465
2566,27633.630406486805,46626.67618272037,58515.15688416857
2567,32706.932520799062,23093.76849079755,49032.397978490575
2568,25522.86891835764,49910.349841704854,52337.57072162493
2569,35756.668762972695,39335.91526059755,61590.27845021784
2570,81751.25850682547,77303.66232581473,52506.69578321503
2571,138892.21651259623,116610.54901901737,136489.6312871725
2572,120159.6491682787,114061.6422584692,140535.6173556888
2573,71482.38992719485,55946.4256092743,82103.56810430631
2574,55029.98502034239,69234.1555539539,85691.5596560341
2575,77065.98426313711,59694.53040771847,85159.32091399035
2576,84864.47989261257,80820.00862237353,55863.52429152992
2577,62753.2076835662,43408.14882369906,37265.17405052407
2578,76712.77393672317,73371.64412645521,99100.57993310943
2579,86828.01611862305,67048.26959665345,60114.079158426925
2580,88967.21316047835,64593.46330448547,72337.0676230018
2581,47033.336141936714,65838.9907527359,77793.62139016466
2582,85527.06593232272,82798.38676149468,108454.25624067255
2583,50735.169139142614,73395.21097071182,79379.8194407864
2584,73933.48249781714,81861.32735795388,102914.21804554977
2585,52576.648849852085,28041.13618955898,41350.031486781205
2586,27866.052650534337,35607.171543616016,15040.065388525307
2587,18036.4523588606,40211.72000214333,34147.899934336965
2588,55555.18399153153,71495.77379942029,86422.40455649045
2589,241559.8184608968,225600.9930269657,250552.25673176974
2590,58093.891951797326,77203.49339784887,88697.99154962212
2591,78171.47572707254,84717.70755949979,106597.5814098233
2592,78739.71567730635,69824.92669111787,96446.13192397592
2593,93638.61308442622,69624.36590089499,74912.50640865405
2594,40219.79362788008,37477.88572746768,62236.58883890992
2595,127333.64909473932,105712.19595455582,126779.87487117795
2596,38614.53496640363,44304.56028867349,65754.05797532703
2597,35052.78715234633,12413.115249851566,37651.29996628791
2598,65901.28749093293,46885.798309318416,39690.364170146684
2599,10191.718261509697,33583.91489878554,32488.540728731045
2600,65386.03640293639,67559.38502483518,91325.79180654444
2601,57740.05777150654,75017.62546232513,88614.738820176
2602,10287.421858721744,24927.986922743814,38904.74005053887
2603,138761.5997934915,116865.60750885047,113433.6902854886
2604,73260.42347024652,59258.7618914991,85696.13888431057
2605,31011.739927376086,6557.272691372044,30686.60120931283
2606,88024.06285514157,88906.06700233303,113456.27606959296
2607,76565.31503355112,61531.80462809787,87739.21819265833
2608,23832.19259303576,43021.38993539208,54721.14460514063
2609,77128.01154075658,77609.81486943903,102190.41623993976
2610,149134.2881774469,126597.64657739316,145875.3209577103
2611,39311.9876980379,36931.19078293801,10356.56891041214
2612,89592.08882705249,66414.35702209,68386.23025359483
2613,75436.82482135897,52515.951669604416,54588.94864119611
2614,51738.84134842952,43312.01403502207,69682.16527438395
2615,18231.059745488925,36395.423409158866,48990.87635140359
2616,58780.9484086524,51606.170512130426,28144.416923471133
2617,14740.001216917024,14441.680062828498,18444.77351317592
2618,27778.557753767713,43703.54821473659,58390.7221359792
2619,29137.18250467586,4632.6693797951,27053.662524037623
2620,43806.99946859471,29108.048391870194,55763.526082568285
2621,63326.24492113511,79987.53083469244,94215.63255377444
2622,56078.313756585696,40219.09708439096,66568.9112705459
2623,64851.6551785092,82803.87470562432,95638.59099277627
2624,69830.75556610915,65959.89970564473,91740.02388107851
2625,69669.88948802346,62078.54460778316,88531.32862423854
2626,80830.53598794785,94789.89397505912,111581.49652344377
2627,95067.11248932252,70406.46645230743,82219.87956528891
2628,81757.06558142671,95649.42672296095,112501.85678952339
2629,53709.79403984579,70175.14438401125,84596.39437423284
2630,85036.72048356688,103102.60105277071,115720.92697514978
2631,71318.40427021772,62520.68291227066,40525.99342312025
2632,71318.40427021772,62520.68291227066,40525.99342312025
2633,70020.52241688201,80276.65734812002,99823.89019658584
2634,59020.739738336306,36745.334034226886,59473.66167653248
2635,100871.85367863151,77991.59071056652,78398.05810023095
2636,67181.3655278145,81982.96382471856,97988.97489447628
2637,57472.764542672405,79029.20137146533,86958.72540859501
2638,51216.92166545838,31600.94703117524,28060.22831742901
2639,75026.86274267804,83792.74808102689,104351.71507046242
2640,64364.429216994526,60551.1386354343,86244.17229355473
2641,52068.45228500733,54861.589824828385,78086.85785517844
2642,92685.57313283462,82537.86205473558,61838.1854581712
2643,21265.085657817643,27433.062155288633,12220.682107881003
2644,83696.813682183,94389.64699783958,113747.11496980512
2645,18758.54572243761,19944.43056050668,40939.673131561685
2646,53400.50414032375,67138.69039796876,83962.20012141493
2647,59478.95838684117,79904.63473840326,89600.82314713742
2648,72180.2517220045,64882.38218643678,91316.01447122612
2649,79272.23290061511,64875.684455501774,91188.37584603416
2650,88030.2933443737,76848.09031867726,57140.31034994331
2651,54238.02068864473,59057.99534959591,81432.1332790881
2652,70330.7312947989,89373.49551786651,100856.78579708327
